ID,Area,Feature,User Story,Expected Behavior,Code Ref,Status,Test Result,Errors Found,Fixed
G01,Gameplay,Slingshot pull-back aiming,"As a player, I want to drag back from the ball to aim so that I control direction by where I pull","onMove sets aimYaw from drag via atan2; only the pointer that started the drag drives it; needs >8px before rotating",onDown/onMove ~2574,Documented,,,
G02,Gameplay,Power meter (squared curve),"As a player, I want pull distance to set shot power so that I can hit gentle putts or big drives","power = clamp(pullLen/240,0.05,1); shoot uses power^2 lerp shotMin 325 to shotMax 6500; wedge colors green/gold/red",shoot ~2160,Documented,,,
G03,Gameplay,Release to fire,"As a player, I want to release the drag to launch so that letting go shoots the ball","onUp fires shoot() only if pull >= 14px; sets velocity, increments strokes, enters roll state, plays hit sfx",onUp ~2576,Documented,,,
G04,Gameplay,Aim trajectory prediction,"As a player, I want a live predicted path so that I can see where the ball will go and bank shots","predictPath simulates up to 110 steps/4 bounces incl gravity/walls/friction; drawn as line + green-gold-red dots + arrow",predictPath ~2505,Documented,,,
G05,Gameplay,Ball rolling physics,"As a player, I want the ball to roll and slow naturally so that movement feels real","stepBall applies gravity, air drag 0.05, rolling friction 1100 along surface tangent, vMax cap; settles when slow",stepBall ~1981,Documented,,,
G06,Gameplay,Wall/curb bouncing,"As a player, I want the ball to bounce off walls/curbs so that I can ricochet shots","collideWall reflects velocity by restitution (wallE 0.66) when ball below wall height; broad-phase culls far walls",collideWall ~1935,Documented,,,
G07,Gameplay,Organic-green containment,"As a player, I want the ball kept on curvy greens so that it cant tunnel through curb joints at speed","containShape shoves a ball that ends outside the polygon back inside nearest edge and bounces (unless lofted >130)",containShape ~1936,Documented,,,
G08,Gameplay,Sinking the cup,"As a player, I want the ball to drop in the cup when slow enough so that I finish the hole","Within cupR+R and speed < holeSpd 1500 while grounded then sunk; near rim a gentle pull sucks it center",holeSunk ~2171,Documented,,,
G09,Gameplay,Out-of-bounds rescue,"As a player, I want a stranded ball returned so that lofting over a rail doesnt lose the ball","If ball settles outside wall hull for 0.55s then OUT OF BOUNDS, drops back where shot was played",stepBall OOB ~2015,Documented,,,
G10,Gameplay,Island void rescue,"As a player, I want falling into the gap between islands undone so that Im not lost in the abyss","On island holes, if terrain <= -2000 for 0.4s then BACK ON THE ISLAND, respawns at shotFrom with a drop",stepBall void ~1996,Documented,,,
G11,Gameplay,Playfield boundary walls,"As a player, I want the ball contained in the arena so that it cant fly off the map","Bounds clamp at +/-12: ball reflected at half speed when it hits minX/maxX/minZ/maxZ",stepBall bounds ~1989,Documented,,,
G12,Gameplay,Ground bounce on hard landings,"As a player, I want airborne shots to bounce on landing so that aerial play feels physical","On landing from air with -vn > 220, groundE restitution applies; sparks/shake when impact > 520",stepBall ground ~2007,Documented,,,
G13,Gameplay,Bumpers (pop combos),"As a player, I want bumpers to kick the ball so that I get pinball ricochets and combo points","collideBumper reflects then adds bumpKick; increments combo, flashes, sparks, POP xN pop",collideBumper ~1945,Documented,,,
G14,Gameplay,Flippers/paddles,"As a player, I want paddles I can fire so that I can bat the ball pinball-style","A/D keys or screen-half taps press flippers; live up-swing launches the ball; can wake a stopped ball no stroke",collideFlipper ~1932,Documented,,,
G15,Gameplay,Windmills,"As a player, I want spinning windmill blades to block the lane so that timing matters","collideWindmill blocks the ball when a blade is near straight-down, reversing vz at 0.55 and WHACK",collideWindmill ~1947,Documented,,,
G16,Gameplay,Timed laser gates,"As a player, I want lasers that toggle on/off so that I must time passing the beam","laserActive cycles by period/onFrac; an on beam softly stops the ball at the gate; shield blocks one zap",collideLaser ~1958,Documented,,,
G17,Gameplay,Boosters (turbo pads),"As a player, I want speed pads that fling the ball so that I can reach far greens","Rolling over a booster sets velocity to its direction x spd (3600), TURBO, cooldown 0.28",stepBall boosters ~2052,Documented,,,
G18,Gameplay,Loop-de-loops,"As a player, I want Sonic-style loops so that fast shots ride a vertical loop and exit boosted","Entering with fwd speed >800 and total >900 starts stepLoop; exits boosted with LOOP BOOST",stepLoop ~1972,Documented,,,
G19,Gameplay,Drop holes/tubes,"As a player, I want pipes/drop-holes to teleport the ball so that I can traverse tiers and islands","Rolling into a warp/tube moves ball to exit, drops from +240, sheds speed to 0.3; DROP/TUBE",stepBall warps ~2066,Documented,,,
G20,Gameplay,Portals (teleport twins),"As a player, I want portals that warp the ball keeping speed so that I cross sealed walls","Rolling into a portal teleports to a random exit, preserves direction/speed out the far side",stepBall portals ~2070,Documented,,,
G21,Gameplay,Cannons,"As a player, I want a cannon that blasts the ball airborne so that I launch in the barrels direction","Rolling in fires ball at cn.power in barrel angle with vy 0.42 x power, KABOOM, cooldown 0.7",stepBall cannons ~2055,Documented,,,
G22,Gameplay,Bouncers (spring pads),"As a player, I want spring pads that boing the ball up so that I can hop hazards","Rolling over a bouncer sets vy=2300 straight up, BOING, cooldown 0.5",stepBall bouncers ~2059,Documented,,,
G23,Gameplay,Conveyor belts,"As a player, I want conveyors that drag the ball so that Im pushed along their direction","While rolling over the belt zone, adds force (2600) along ang each step",stepBall conveyors ~2049,Documented,,,
G24,Gameplay,Pendulum wrecking ball,"As a player, I want a swinging bob to whack the ball so that I dodge cross-lane hazards","Pendulum swings amp*sin(t*speed); when bob is low and within reach it reflects+kicks the ball 1500, CLANG",stepBall pendulums ~2050,Documented,,,
G25,Gameplay,Spinning turntables,"As a player, I want a rotating disc that whirls the ball so that it spirals off","Within radius while rolling, adds tangential force (spin*dist*9) only, no centripetal so it never traps",stepBall turntables ~2051,Documented,,,
G26,Gameplay,Sliding gates,"As a player, I want a bar that slides open/closed so that I time gaps in a barrier","Gate bar slides by cosine of phase; collides as a moving wall segment; flashes on contact",stepBall gates ~2048,Documented,,,
G27,Gameplay,Ring of fire (scoring hoop),"As a player, I want to jump through a flaming hoop so that I earn bonus points","While airborne and passing within the vertical hoop radius then +points, combo, speed boost 1.12, RING +N",stepBall firerings ~2074,Documented,,,
G28,Gameplay,Enemies/varmints,"As a player, I want patrolling/chasing critters so that I must dodge hazards","Enemies patrol/static/chase; on contact apply knockback/reset/stun; shield blocks one hit",stepBall enemies ~2077,Documented,,,
G29,Gameplay,Coins (collectibles),"As a player, I want to grab coins so that I build a coin count","Rolling over an uncollected coin marks it got, adds value, +N pop, coin sfx",stepBall coins ~2080,Documented,,,
G30,Gameplay,Power-ups,"As a player, I want beneficial pickups so that I gain temporary advantages","Roll over to apply: MAGNET 3.6s cup-pull, SHIELD blocks next hazard, SLOW-MO 4s, GEM +250, JUMP pops ball",applyPowerup ~2096,Documented,,,
G31,Gameplay,Magnet cup pull,"As a player, I want the magnet to suck the ball toward the cup so that near-green grabs sink easier","While magnetT>0 and grounded, accelerate ball toward cup at 2600/s; pulsing tractor-beam drawn",stepBall magnet ~2086,Documented,,,
G32,Gameplay,Slow-motion,"As a player, I want time to slow so that I can thread spinning hazards","While slowT>0, tick scales dt by 0.45; HUD shows SLOW-MO countdown badge",tick ~3335,Documented,,,
G33,Gameplay,Multiball pad,"As a player, I want a multiball element so that extra balls give me chances","mball builds a glowing pad; endShot keeps the closest-to-cup ball and drops the rest",endShot ~2137,Documented,,,
G34,Gameplay,Special surface themes,"As a player, I want surfaces like ice/moon/mud/rubber/speed/sand so that holes play differently","Each theme overrides physics: ice low friction, moon low-G 780, mud sticky, rubber bouncy, speed fast, sand drag",THEMES ~36,Documented,,,
G35,Gameplay,Terrain features,"As a player, I want hills, ramps, tiers and funnels so that holes have elevation and shaping","terrainFn composes platform/hill/ramp/tier/slope/funnel into a height field; normalAt drives slope rolling",terrainFn ~114,Documented,,,
G36,Gameplay,Crazy-shaped organic greens,"As a player, I want curvy non-rectangular fairways so that holes feel hand-crafted","shape/ribbon/isl build closed polygons rendered as terrain-following greens with curb walls",buildShapedGreen ~1090,Documented,,,
G37,Gameplay,Floating-island holes,"As a player, I want separate floating islands so that I traverse gaps via tubes/portals/drops","island() adds polygon platforms at their own height with deep void off-island; traversed by connectors",island DSL ~96,Documented,,,
G38,Gameplay,Scoring vs par,"As a player, I want score named against par so that I know how I did","holeSunk computes over=strokes-par then HOLE IN ONE/EAGLE/BIRDIE/PAR/BOGEY/+N banner; tallies parDone",holeSunk ~2171,Documented,,,
G39,Gameplay,Per-hole personal best,"As a player, I want my best score saved so that I can beat it later","holeSunk stores best per hole in localStorage pg_best (not testing/team); appends BEST on a new record",holeSunk best ~2175,Documented,,,
G40,Gameplay,Nine-hole sets & scorecard,"As a player, I want to play a chosen nine and see a scorecard so that I track a full round","SETS Front/Middle/Back/Wild; nextHole advances within 9; finishGame totals and shows scorecard",finishGame ~2189,Documented,,,
G41,Gameplay,Camera follow orbit zoom,"As a player, I want a camera that follows the ball and orbits/zooms so that I always see the action","placeCam follows ball toward cup, smooths camYaw, zoom 0.55-1.8, speed-based FOV; arrows/wheel/buttons orbit",placeCam ~2361,Documented,,,
G42,Gameplay,Camera reset,"As a player, I want to reset the view so that I can recenter after orbiting","vreset button sets zoom=1 and camOrbit=0",toolbar ~4119,Documented,,,
G43,Gameplay,X-ray walls,"As a player, I want walls between camera and ball to fade so that the ball is never hidden","xrayWalls makes any wall on the camera-ball line see-through (~10%); a glow locator shows through",xrayWalls ~2385,Documented,,,
G44,Gameplay,Combos shake celebrations,"As a player, I want shake, sparks and confetti so that hits and sinks feel juicy","Sinks trigger shake (22 for great), spark bursts, cup shockwave rings, confetti for birdie+",holeSunk ~2178,Documented,,,
